Sequence Name,Predicted Haplogroup,N,Nph,Nph_tot,Nph_exp,P_Hg
Contig.1,K1a1c,292,36,53,53,67.925
Contig.1,I3d1,292,33,53,53,62.264
Contig.1,H5e1b,292,40,49,49,81.633
Contig.1,H9,292,37,43,43,86.047
Contig.1,U5b2c1,292,38,55,55,69.091
Contig.1,U5b2c2,292,38,56,56,67.857
Contig.1,H2,292,38,44,44,86.364
Contig.1,H3,292,38,44,44,86.364
Contig.1,B5a2a,292,37,50,50,74.000
Contig.1,H1,292,39,44,44,88.636
Contig.1,H6,292,38,45,45,84.444
Contig.1,H7,292,38,44,44,86.364
Contig.1,H4,292,38,46,46,82.609
Contig.1,L2a1f1,292,21,39,39,53.846
Contig.1,L3b1a5a,292,30,46,46,65.217
Contig.1,P1d2a,292,39,50,50,78.000
Contig.1,K1b2a2a,292,33,50,50,66.000
Contig.1,B4c1c_16311!,292,34,43,43,79.070
Contig.1,F1a1c3,292,38,57,57,66.667
Contig.1,H12a,292,37,45,45,82.222
Contig.1,H1ab1,292,38,45,45,84.444
Contig.1,M6a2,292,32,50,50,64.000
Contig.1,D4j1a,292,33,49,49,67.347
Contig.1,D4j1b,292,33,47,47,70.213
Contig.1,M6a1,292,32,49,49,65.306
Contig.1,V20,292,38,46,46,82.609
Contig.1,U2e1'2'3,292,35,53,53,66.038
Contig.1,J1c1b2,292,42,54,54,77.778
Contig.1,J1c1b1,292,42,53,53,79.245
Contig.1,B2a4a1,292,38,56,56,67.857
Contig.1,H1_16189!,292,38,43,43,88.372
Contig.1,H5a1_16093,292,39,48,48,81.250
Contig.1,B4a1c5,292,37,46,46,80.435
Contig.1,I1e,292,33,52,52,63.462
Contig.1,I1d,292,33,50,50,66.000
Contig.1,I1f,292,33,52,52,63.462
Contig.1,I1a,292,33,52,52,63.462
Contig.1,F3b_152!,292,37,52,52,71.154
Contig.1,I1c,292,33,53,53,62.264
Contig.1,I1b,292,33,50,50,66.000
Contig.1,H1aj1a,292,39,51,51,76.471
Contig.1,U5a2a2a,292,39,54,54,72.222
Contig.1,N9a10a2,292,36,46,46,78.261
Contig.1,N9a10a1,292,36,46,46,78.261
Contig.1,B2i2a1b,292,37,57,57,64.912
Contig.1,M38,292,32,42,42,76.190
Contig.1,R,292,38,38,38,100.000
Contig.1,I1c1,292,33,55,55,60.000
Contig.1,J1b1a1,292,42,58,58,72.414
Contig.1,A11_16234,292,35,46,46,76.087
Contig.1,U6a3_185,292,36,46,46,78.261
Contig.1,X2o1,292,33,43,43,76.744
