Sequence Name,Predicted Haplogroup,N,Nph,Nph_tot,Nph_exp,P_Hg
Contig.1,H45,292,38,44,44,86.364
Contig.1,H44,292,38,44,44,86.364
Contig.1,H43,292,38,44,44,86.364
Contig.1,H42,292,38,44,44,86.364
Contig.1,H41,292,38,44,44,86.364
Contig.1,H5r2,292,38,48,48,79.167
Contig.1,U8a1,292,38,50,50,76.000
Contig.1,R31a,292,38,52,52,73.077
Contig.1,Q1c1a,292,32,57,57,56.140
Contig.1,H48,292,38,44,44,86.364
Contig.1,B4a2b1,292,37,46,46,80.435
Contig.1,L0a1b2,292,3,42,42,7.143
Contig.1,K1c2a,292,34,53,53,64.151
Contig.1,L0a1b1,292,4,41,41,9.756
Contig.1,H13a2b4,292,39,51,51,76.471
Contig.1,H13a2b5,292,38,47,47,80.851
Contig.1,K1a3a2,292,36,53,53,67.925
Contig.1,H13a2b1,292,38,48,48,79.167
Contig.1,H13a2b2,292,40,49,49,81.633
Contig.1,H13a2b3,292,39,47,47,82.979
Contig.1,U3a2a,292,38,55,55,69.091
Contig.1,L0d2a'b'd,292,2,32,32,6.250
Contig.1,L1c1a'b'd,292,10,38,38,26.316
Contig.1,M10a1b,292,33,50,50,66.000
Contig.1,M37a,292,32,40,40,80.000
Contig.1,M10a1a,292,32,49,49,65.306
Contig.1,M49e,292,32,42,42,76.190
Contig.1,HV1b_152!,292,37,44,44,84.091
Contig.1,F1_16189!,292,38,47,47,80.851
Contig.1,W3a1,292,36,54,54,66.667
Contig.1,L4a1a,292,28,51,51,54.902
Contig.1,M57b,292,30,44,44,68.182
Contig.1,M57a,292,30,40,40,75.000
Contig.1,D4b2a2a,292,32,50,50,64.000
Contig.1,B4b1,292,37,45,45,82.222
Contig.1,L2c2b2,292,23,50,50,46.000
Contig.1,K1a11,292,35,54,54,64.815
Contig.1,M5b2b1a,292,33,47,47,70.213
Contig.1,T2h2,292,54,58,58,93.103
Contig.1,M12b1a2,292,31,53,53,58.491
Contig.1,T2h1,292,54,57,57,94.737
Contig.1,U5b2c,292,38,53,53,71.698
Contig.1,U5b2b,292,38,53,53,71.698
Contig.1,U5b2a,292,37,51,51,72.549
Contig.1,U6a7a1_152,292,36,53,53,67.925
Contig.1,L1c3b1b,292,11,52,52,21.154
Contig.1,F2e1,292,41,61,61,67.213
Contig.1,V7a,292,38,49,49,77.551
Contig.1,V7b,292,38,49,49,77.551
Contig.1,L0a'b'f'g'k,292,1,14,14,7.143
Contig.1,D5a2a1b1,292,31,54,54,57.407
Contig.1,M68a,292,32,53,53,60.377
Contig.1,D2a'b,292,32,48,48,66.667
Contig.1,B4_16261,292,37,40,40,92.500
Contig.1,H3b1a,292,39,47,47,82.979
Contig.1,B4c1b2c2,292,37,51,51,72.549
Contig.1,B4c1b2c1,292,38,56,56,67.857
Contig.1,V23,292,38,46,46,82.609
Contig.1,M35_199,292,32,39,39,82.051
Contig.1,M11b1a1,292,32,51,51,62.745
Contig.1,L2a1f1a,292,21,40,40,52.500
Contig.1,M21b1a,292,32,44,44,72.727
Contig.1,K1a19,292,36,51,51,70.588
Contig.1,U5a1c2a1,292,38,55,55,69.091
Contig.1,B4g2,292,37,47,47,78.723
Contig.1,H1e1a6,292,39,48,48,81.250
Contig.1,K1a18,292,36,52,52,69.231
Contig.1,J2b1h,292,40,57,57,70.175
Contig.1,B4g1,292,37,44,44,84.091
Contig.1,H66a,292,38,45,45,84.444
Contig.1,J2b1d,292,40,52,52,76.923
Contig.1,J2b1e,292,40,52,52,76.923
Contig.1,J2b1f,292,40,52,52,76.923
Contig.1,J2b1g,292,40,52,52,76.923
Contig.1,J2b1a,292,39,50,50,78.000
Contig.1,J2b1b,292,41,54,54,75.926
Contig.1,J2b1c,292,40,52,52,76.923
Contig.1,C5c1,292,31,55,55,56.364
Contig.1,B4a1a1a11b,292,36,47,47,76.596
Contig.1,A2af1b1,292,34,57,57,59.649
Contig.1,A2af1b2,292,34,59,59,57.627
Contig.1,W6b,292,36,57,57,63.158
Contig.1,H1ag1a,292,39,48,48,81.250
Contig.1,H1ag1b,292,39,47,47,82.979
Contig.1,W6a,292,36,55,55,65.455
Contig.1,W6d,292,36,55,55,65.455
Contig.1,U5b1b1_152!,292,36,51,51,70.588
Contig.1,M1a1_16093,292,28,45,45,62.222
Contig.1,H1bv1,292,39,47,47,82.979
Contig.1,H3v_16093,292,38,46,46,82.609
Contig.1,E1a2_s1,292,31,49,49,63.265
Contig.1,U5b3b1,292,39,53,53,73.585
Contig.1,H13a1d,292,37,46,46,80.435
Contig.1,R8a1b,292,38,50,50,76.000
Contig.1,B5a1b1,292,37,49,49,75.510
Contig.1,B4a1a1_152!,292,35,45,45,77.778
Contig.1,M5,292,32,37,37,86.486
Contig.1,M9a1a1c1b1a,292,32,49,49,65.306
Contig.1,M7,292,32,39,39,82.051
Contig.1,M6,292,32,43,43,74.419
Contig.1,M1,292,28,39,39,71.795
Contig.1,M3,292,33,39,39,84.615
Contig.1,M2,292,32,42,42,76.190
Contig.1,D4a3b2,292,30,48,48,62.500
Contig.1,M9,292,32,39,39,82.051
Contig.1,M2a,292,32,46,46,69.565
Contig.1,M2b,292,30,51,51,58.824
Contig.1,M2c,292,33,46,46,71.739
Contig.1,M12b2a,292,30,49,49,61.224
Contig.1,D4a1a1a,292,31,48,48,64.583
Contig.1,J1b6a,292,42,53,53,79.245
Contig.1,H5u,292,39,46,46,84.783
Contig.1,V9a2,292,38,50,50,76.000
Contig.1,U7a1a,292,38,55,55,69.091
Contig.1,L4b,292,29,33,33,87.879
Contig.1,E1a2a2,292,31,51,51,60.784
Contig.1,C1d1a1,292,31,55,55,56.364
Contig.1,M7c1a3a,292,31,47,47,65.957
Contig.1,E1a2a1,292,31,51,51,60.784
Contig.1,U5b1b1,292,37,52,52,71.154
Contig.1,L3b2a,292,29,45,45,64.444
Contig.1,L3b2b,292,30,48,48,62.500
Contig.1,U5b1b2,292,37,51,51,72.549
Contig.1,H5a4a,292,40,49,49,81.633
Contig.1,H11b,292,36,44,44,81.818
Contig.1,J1b1a3,292,42,58,58,72.414
Contig.1,H11a,292,36,45,45,80.000
Contig.1,T2d1,292,53,56,56,94.643
Contig.1,P2'10,292,39,41,41,95.122
Contig.1,H1j7,292,39,48,48,81.250
Contig.1,M29,292,31,45,45,68.889
Contig.1,N11b,292,35,57,57,61.404
Contig.1,L3d1b2,292,31,43,43,72.093
Contig.1,M25,292,31,49,49,63.265
Contig.1,M12b1a1,292,31,53,53,58.491
Contig.1,L3d1b1,292,31,41,41,75.610
Contig.1,M20,292,30,52,52,57.692
Contig.1,M21,292,32,38,38,84.211
Contig.1,M22,292,32,40,40,80.000
Contig.1,M23,292,29,49,49,59.184
Contig.1,F1a3a2,292,36,55,55,65.455
Contig.1,F1a3a3,292,37,55,55,67.273
Contig.1,F1a3a1,292,37,55,55,67.273
Contig.1,L0d1c2a,292,3,43,43,6.977
Contig.1,C1b13e,292,31,53,53,58.491
Contig.1,K2a2a1,292,36,53,53,67.925
Contig.1,N9a,292,36,43,43,83.721
Contig.1,D4a2a,292,31,48,48,64.583
Contig.1,C1b13a,292,31,53,53,58.491
Contig.1,C1b13b,292,31,54,54,57.407
Contig.1,J1c2c2a,292,43,55,55,78.182
Contig.1,L2c2b1a,292,24,53,53,45.283
Contig.1,H1j6,292,40,48,48,83.333
Contig.1,L2c2b1b,292,22,53,53,41.509
Contig.1,M12a2,292,32,50,50,64.000
Contig.1,P1e,292,38,44,44,86.364
Contig.1,D4a1e1,292,31,49,49,63.265
Contig.1,M12a1,292,32,51,51,62.745
Contig.1,D4a7,292,30,47,47,63.830
Contig.1,D4a6,292,31,47,47,65.957
Contig.1,D4a5,292,31,46,46,67.391
Contig.1,D4a4,292,32,49,49,65.306
Contig.1,D4a3,292,31,46,46,67.391
Contig.1,M65a1,292,31,46,46,67.391
Contig.1,T2b6a,292,57,62,62,91.935
Contig.1,M7c1b2b,292,31,49,49,63.265
Contig.1,M7c1b2a,292,31,48,48,64.583
Contig.1,K1b1c,292,35,54,54,64.815
Contig.1,M68a1,292,31,54,54,57.407
Contig.1,K2a9,292,36,52,52,69.231
Contig.1,M13a'b,292,31,39,39,79.487
Contig.1,K2a4,292,36,51,51,70.588
Contig.1,K2a5,292,36,51,51,70.588
Contig.1,K2a6,292,36,51,51,70.588
Contig.1,K2a7,292,36,51,51,70.588
Contig.1,U3a1c1,292,39,56,56,69.643
Contig.1,K2a1,292,36,53,53,67.925
Contig.1,M9a4a2,292,33,47,47,70.213
Contig.1,R0a2_195!,292,39,48,48,81.250
Contig.1,H1j5,292,39,47,47,82.979
Contig.1,B5b2a2a,292,37,60,60,61.667
Contig.1,D4h3a1a2,292,32,57,57,56.140
Contig.1,D4h3a1a1,292,32,58,58,55.172
Contig.1,U5b1c1a,292,36,51,51,70.588
Contig.1,R8b1,292,37,48,48,77.083
Contig.1,L2c1a,292,23,47,47,48.936
Contig.1,L2a1a1,292,22,45,45,48.889
Contig.1,T2a1b1a1a2,292,54,64,64,84.375
Contig.1,H1ad,292,38,44,44,86.364
Contig.1,B4a1a,292,36,45,45,80.000
Contig.1,U1a1a1,292,37,57,57,64.912
Contig.1,B4a1c,292,38,44,44,86.364
Contig.1,M49e1,292,32,43,43,74.419
Contig.1,M28a5a,292,29,49,49,59.184
Contig.1,V1a1,292,38,48,48,79.167
Contig.1,M28a5b,292,29,49,49,59.184
Contig.1,L3f,292,32,38,38,84.211
Contig.1,M62'68,292,32,40,40,80.000
Contig.1,L3d,292,31,37,37,83.784
Contig.1,H1a1a1,292,39,48,48,81.250
Contig.1,L3b,292,30,42,42,71.429
Contig.1,L3c,292,28,43,43,65.116
Contig.1,Z_152!,292,31,47,47,65.957
Contig.1,L3a,292,32,35,35,91.429
Contig.1,X2_225_153!,292,33,39,39,84.615
Contig.1,L1c1a1a1,292,12,54,54,22.222
Contig.1,L1c1a1a2,292,13,53,53,24.528
Contig.1,U1a1a2,292,37,58,58,63.793
Contig.1,L3k,292,31,43,43,72.093
Contig.1,L3h,292,32,35,35,91.429
Contig.1,L3i,292,32,36,36,88.889
Contig.1,K1a4_146!,292,35,50,50,70.000
Contig.1,H1ay,292,39,45,45,86.667
Contig.1,U5b1e1,292,36,51,51,70.588
Contig.1,M5a2a1a2,292,33,46,46,71.739
Contig.1,H6a1a,292,38,49,49,77.551
Contig.1,M5a2a1a1,292,33,46,46,71.739
Contig.1,H1b2a,292,38,49,49,77.551
Contig.1,L3x,292,32,41,41,78.049
Contig.1,T2e_152!,292,53,55,55,96.364
Contig.1,F4b1,292,38,52,52,73.077
Contig.1,H5e1a,292,40,49,49,81.633
Contig.1,H13a1a1d1,292,38,52,52,73.077
Contig.1,H15b,292,38,47,47,80.851
Contig.1,H11a2a,292,36,47,47,76.596
Contig.1,H1a3c1,292,39,47,47,82.979
Contig.1,N2a2,292,37,48,48,77.083
Contig.1,N2a1,292,37,49,49,75.510
Contig.1,N9a4a,292,36,48,48,75.000
Contig.1,D4a1h,292,31,46,46,67.391
Contig.1,M1b1,292,28,45,45,62.222
Contig.1,M1b2,292,28,42,42,66.667
Contig.1,L3e5b,292,32,42,42,76.190
Contig.1,L3e5c,292,31,41,41,75.610
Contig.1,D4a1a,292,31,46,46,67.391
Contig.1,L3e5a,292,32,42,42,76.190
Contig.1,L3e5f,292,32,44,44,72.727
Contig.1,D4a1f,292,31,46,46,67.391
Contig.1,B5a2,292,37,47,47,78.723
Contig.1,L3e5e,292,32,43,43,74.419
Contig.1,D1j1,292,31,45,45,68.889
Contig.1,H1aq,292,39,45,45,86.667
Contig.1,M91a,292,32,50,50,64.000
Contig.1,M2a1a,292,31,50,50,62.000
Contig.1,M2a1b,292,32,57,57,56.140
Contig.1,M91b,292,32,51,51,62.745
Contig.1,M27a1a,292,31,58,58,53.448
Contig.1,M27a1b,292,31,53,53,58.491
Contig.1,U8a1a1b,292,38,55,55,69.091
Contig.1,R9c1b2,292,39,48,48,81.250
Contig.1,R9c1b1,292,40,49,49,81.633
Contig.1,U8a1a1a,292,38,55,55,69.091
Contig.1,U9a,292,36,47,47,76.596
Contig.1,H1i2a,292,38,46,46,82.609
Contig.1,U9b,292,37,48,48,77.083
Contig.1,H1at,292,39,45,45,86.667
Contig.1,H3u1,292,38,48,48,79.167
Contig.1,R0a1a4,292,39,52,52,75.000
Contig.1,K1a12a,292,36,52,52,69.231
Contig.1,L2a1m1a,292,21,41,41,51.220
Contig.1,R0a1a3,292,39,53,53,73.585
Contig.1,R0a1a2,292,40,55,55,72.727
Contig.1,M12b1a2b,292,31,54,54,57.407
Contig.1,X2m,292,33,41,41,80.488
Contig.1,M12b1a2a,292,31,53,53,58.491
Contig.1,L5b2,292,18,49,49,36.735
Contig.1,L5b1,292,14,40,40,35.000
Contig.1,M9a4,292,32,44,44,72.727
Contig.1,G3a1'2,292,33,45,45,73.333
Contig.1,L3d4a,292,30,40,40,75.000
Contig.1,M21b,292,32,41,41,78.049
Contig.1,HV2a3,292,36,45,45,80.000
Contig.1,M21a,292,32,46,46,69.565
Contig.1,U6a2,292,36,45,45,80.000
Contig.1,G2b1a2,292,33,50,50,66.000
Contig.1,H3a1,292,37,45,45,82.222
Contig.1,A2r1,292,34,50,50,68.000
Contig.1,H7b2a,292,38,47,47,80.851
Contig.1,U4b1a3a,292,36,55,55,65.455
Contig.1,X2i,292,33,41,41,80.488
Contig.1,H5,292,39,45,45,86.667
Contig.1,K1a19a,292,36,58,58,62.069
Contig.1,X2h,292,34,43,43,79.070
Contig.1,U6a1,292,37,46,46,80.435
Contig.1,L2a2b1,292,21,43,43,48.837
Contig.1,M5a2a4,292,34,47,47,72.340
Contig.1,B4f1,292,36,53,53,67.925
Contig.1,U6a7,292,37,46,46,80.435
Contig.1,U5a2c3,292,38,50,50,76.000
Contig.1,Q3a_61,292,30,47,47,63.830
Contig.1,L1c1a1b,292,14,53,53,26.415
Contig.1,L2a1a2a1a,292,22,46,46,47.826
Contig.1,T2a1b1a1a1,292,54,63,63,85.714
Contig.1,C1b10,292,28,50,50,56.000
Contig.1,C1b11,292,31,51,51,60.784
Contig.1,C1b12,292,31,51,51,60.784
Contig.1,A2ao1,292,34,49,49,69.388
Contig.1,C1b14,292,31,53,53,58.491
Contig.1,M2a1a1b1,292,31,54,54,57.407
Contig.1,H3ad,292,38,45,45,84.444
Contig.1,H3ae,292,38,45,45,84.444
Contig.1,H3af,292,37,44,44,84.091
Contig.1,H3ag,292,38,45,45,84.444
Contig.1,H4a1a3,292,37,50,50,74.000
Contig.1,H1ah2,292,39,48,48,81.250
Contig.1,H3ab,292,38,46,46,82.609
Contig.1,H3ac,292,38,45,45,84.444
Contig.1,L0a2b,292,7,49,49,14.286
Contig.1,H3am,292,38,44,44,86.364
Contig.1,H3an,292,38,45,45,84.444
Contig.1,H3ao,292,38,45,45,84.444
Contig.1,H3ah,292,38,45,45,84.444
Contig.1,H3ai,292,38,45,45,84.444
Contig.1,H3aj,292,38,45,45,84.444
Contig.1,A5a1b,292,35,50,50,70.000
Contig.1,H3at,292,38,45,45,84.444
Contig.1,H3au,292,38,45,45,84.444
Contig.1,H3av,292,36,44,44,81.818
Contig.1,H3ap,292,37,43,43,86.047
Contig.1,H3aq,292,37,43,43,86.047
Contig.1,H3ar,292,38,45,45,84.444
Contig.1,H3as,292,38,45,45,84.444
Contig.1,B4b1c2,292,37,48,48,77.083
Contig.1,F1a1,292,38,53,53,71.698
Contig.1,B4b1c1,292,35,47,47,74.468
Contig.1,H2a5a,292,38,47,47,80.851
Contig.1,H2a5b,292,38,47,47,80.851
Contig.1,U6a7a2,292,36,53,53,67.925
Contig.1,H6a1a8a,292,38,52,52,73.077
Contig.1,L3x2b,292,33,51,51,64.706
Contig.1,M2a1a_207,292,31,51,51,60.784
Contig.1,F1a1d1,292,38,57,57,66.667
Contig.1,U6a3f2,292,36,48,48,75.000
Contig.1,B4c1b_16335,292,38,47,47,80.851
Contig.1,M2a1a3a1,292,31,56,56,55.357
Contig.1,U3a2a1,292,38,56,56,67.857
Contig.1,R9b1,292,39,45,45,86.667
Contig.1,M17c,292,32,41,41,78.049
Contig.1,T2a1,292,54,56,56,96.429
Contig.1,M17a,292,31,48,48,64.583
Contig.1,U5b2a1a1b,292,36,52,52,69.231
Contig.1,H42a1,292,39,47,47,82.979
Contig.1,H42a2,292,39,48,48,81.250
Contig.1,H1i2,292,38,45,45,84.444
Contig.1,L0k2a,292,3,47,47,6.383
Contig.1,L0k2b,292,3,46,46,6.522
Contig.1,H1i1,292,38,45,45,84.444
Contig.1,HV11a,292,37,43,43,86.047
Contig.1,M5a3b,292,32,43,43,74.419
Contig.1,M5a3a,292,33,45,45,73.333
Contig.1,H4a1a2a1,292,38,54,54,70.370
Contig.1,M10a1a1b1,292,31,53,53,58.491
Contig.1,V1a1a1,292,38,51,51,74.510
Contig.1,M10a1a1b2,292,31,53,53,58.491
Contig.1,L1c2'4,292,10,36,36,27.778
Contig.1,W1b1,292,36,55,55,65.455
Contig.1,M48,292,32,43,43,74.419
Contig.1,V_72!,292,38,44,44,86.364
Contig.1,T2b6b,292,56,64,64,87.500
Contig.1,T2a1b1a1b1,292,54,63,63,85.714
Contig.1,H4a2,292,38,50,50,76.000
Contig.1,H4a1,292,38,49,49,77.551
Contig.1,A5a1a2,292,36,51,51,70.588
Contig.1,L3f1,292,32,40,40,80.000
Contig.1,U4d1b,292,37,53,53,69.811
Contig.1,L3f3,292,32,52,52,61.538
Contig.1,L3f2,292,31,37,37,83.784
Contig.1,U7b1,292,37,53,53,69.811
Contig.1,U5a1,292,38,50,50,76.000
Contig.1,H3g1,292,37,46,46,80.435
Contig.1,C4b,292,31,52,52,59.615
Contig.1,U5b2a1b,292,36,51,51,70.588
Contig.1,M1'20'51,292,32,38,38,84.211
Contig.1,L4b1a,292,31,57,57,54.386
Contig.1,H56,292,38,44,44,86.364
Contig.1,H57,292,38,45,45,84.444
Contig.1,H50,292,38,44,44,86.364
Contig.1,H51,292,38,44,44,86.364
Contig.1,W1i,292,36,53,53,67.925
Contig.1,W1h,292,36,52,52,69.231
Contig.1,W1g,292,36,52,52,69.231
Contig.1,W1f,292,36,52,52,69.231
Contig.1,W1e,292,36,53,53,67.925
Contig.1,W1d,292,36,56,56,64.286
Contig.1,W1c,292,36,53,53,67.925
Contig.1,W1b,292,36,54,54,66.667
Contig.1,W1a,292,36,53,53,67.925
Contig.1,R5,292,39,43,43,90.698
Contig.1,R6,292,38,40,40,95.000
Contig.1,R7,292,37,39,39,94.872
Contig.1,R0,292,38,40,40,95.000
Contig.1,R1,292,37,38,38,97.368
Contig.1,R2,292,39,46,46,84.783
Contig.1,J1c3i,292,42,52,52,80.769
Contig.1,H13a2a1,292,39,49,49,79.592
Contig.1,L0a2c,292,6,52,52,11.538
Contig.1,D4q1a,292,32,47,47,68.085
Contig.1,L0a2a,292,6,44,44,13.636
Contig.1,R8,292,37,42,42,88.095
Contig.1,R9,292,39,41,41,95.122
Contig.1,L0a2d,292,6,44,44,13.636
Contig.1,J1c3a,292,42,51,51,82.353
Contig.1,H10e1a,292,38,47,47,80.851
Contig.1,J1c8a2,292,42,52,52,80.769
Contig.1,J1c8a1,292,42,53,53,79.245
Contig.1,U5a1a1i,292,38,53,53,71.698
Contig.1,U5a1a1h,292,38,52,52,73.077
Contig.1,L0d3b,292,3,47,47,6.383
Contig.1,L3x2a1,292,33,52,52,63.462
Contig.1,U5a1a1e,292,38,53,53,71.698
Contig.1,U5a1a1d,292,38,55,55,69.091
Contig.1,U5a1a1g,292,38,53,53,71.698
Contig.1,U5a1a1a,292,37,52,52,71.154
Contig.1,B4d3a1,292,37,51,51,72.549
Contig.1,U5a1a1c,292,38,54,54,70.370
Contig.1,U5a1a1b,292,37,52,52,71.154
Contig.1,H5d,292,39,46,46,84.783
Contig.1,H5e,292,40,46,46,86.957
Contig.1,H5f,292,39,46,46,84.783
Contig.1,H5g,292,39,46,46,84.783
Contig.1,H5a,292,39,46,46,84.783
Contig.1,H5b,292,39,46,46,84.783
Contig.1,H5c,292,39,46,46,84.783
Contig.1,M3c1,292,31,41,41,75.610
Contig.1,H1e5a,292,39,47,47,82.979
Contig.1,H1e5b,292,39,47,47,82.979
Contig.1,J2a2c1,292,39,55,55,70.909
Contig.1,H5h,292,39,47,47,82.979
Contig.1,L1b2'3,292,11,37,37,29.730
Contig.1,H5j,292,39,51,51,76.471
Contig.1,H5k,292,39,47,47,82.979
Contig.1,H2a2a1h,292,38,50,50,76.000
Contig.1,C4b8a,292,31,55,55,56.364
Contig.1,H5v,292,40,47,47,85.106
Contig.1,K1b2a2,292,33,49,49,67.347
Contig.1,H5p,292,39,46,46,84.783
Contig.1,H4a1a,292,38,50,50,76.000
Contig.1,H5r,292,38,47,47,80.851
Contig.1,H5s,292,38,46,46,82.609
Contig.1,M36b,292,32,49,49,65.306
Contig.1,M36c,292,32,50,50,64.000
Contig.1,H2a2a1b,292,38,50,50,76.000
Contig.1,H2a2a1c,292,38,51,51,74.510
Contig.1,H2a2a1d,292,38,50,50,76.000
Contig.1,H2a2a1e,292,38,50,50,76.000
Contig.1,H2a2a1f,292,38,50,50,76.000
Contig.1,H2a2a1g,292,37,48,48,77.083
Contig.1,A,292,36,44,44,81.818
Contig.1,N10b,292,35,55,55,63.636
Contig.1,L1b1a9,292,10,44,44,22.727
Contig.1,L1b1a8,292,10,43,43,23.256
Contig.1,L1b1a7,292,10,43,43,23.256
Contig.1,L1b1a6,292,10,44,44,22.727
Contig.1,L1b1a5,292,10,43,43,23.256
Contig.1,L1b1a4,292,10,44,44,22.727
Contig.1,L1b1a3,292,10,44,44,22.727
Contig.1,L1b1a2,292,10,43,43,23.256
Contig.1,L1b1a1,292,10,46,46,21.739
Contig.1,F1e,292,38,49,49,77.551
Contig.1,HV4a1a4,292,38,47,47,80.851
Contig.1,M7b1,292,31,44,44,70.455
Contig.1,HV4a1a1,292,37,47,47,78.723
Contig.1,HV4a1a2,292,38,46,46,82.609
Contig.1,HV4a1a3,292,38,47,47,80.851
Contig.1,D5a2a1,292,31,52,52,59.615
Contig.1,N7b,292,36,48,48,75.000
Contig.1,D5a2a2,292,31,52,52,59.615
Contig.1,H1at1,292,39,46,46,84.783
Contig.1,J2a2b,292,39,53,53,73.585
Contig.1,M7a1a5,292,32,50,50,64.000
Contig.1,W6,292,36,54,54,66.667
Contig.1,U6a3b1,292,33,48,48,68.750
Contig.1,M1a3b,292,29,44,44,65.909
Contig.1,M1a3a,292,29,44,44,65.909
Contig.1,U6a6a,292,36,49,49,73.469
Contig.1,H1a8,292,39,45,45,86.667
Contig.1,U6a6b,292,37,48,48,77.083
Contig.1,A2af1a1,292,34,55,55,61.818
Contig.1,M62b1a1,292,33,58,58,56.897
Contig.1,B4c1a1c,292,36,45,45,80.000
Contig.1,B4c1a1b,292,37,45,45,82.222
Contig.1,B4c1a1a,292,37,45,45,82.222
Contig.1,B4a1c1a,292,38,46,46,82.609
Contig.1,R2_13500,292,39,47,47,82.979
Contig.1,M7c1a1b1,292,33,52,52,63.462
Contig.1,U2_152!,292,37,42,42,88.095
Contig.1,B4a1b1,292,35,45,45,77.778
Contig.1,G3a2a,292,31,47,47,65.957
Contig.1,G,292,33,42,42,78.571
Contig.1,R0a2'3,292,40,48,48,83.333
Contig.1,H1c4a1,292,39,48,48,81.250
Contig.1,B5a1a1,292,37,49,49,75.510
Contig.1,J2a2e,292,40,54,54,74.074
Contig.1,D2b1a,292,31,50,50,62.000
Contig.1,T2c1_146!,292,53,56,56,94.643
Contig.1,H2a1m,292,38,47,47,80.851
Contig.1,H_13708,292,38,44,44,86.364
Contig.1,H60,292,38,44,44,86.364
Contig.1,B4a1a1m1,292,38,49,49,77.551
Contig.1,U3a1c,292,39,55,55,70.909
Contig.1,U3a1b,292,39,55,55,70.909
Contig.1,U3a1a,292,38,53,53,71.698
Contig.1,M9b,292,32,48,48,66.667
Contig.1,Q3b,292,31,51,51,60.784
Contig.1,Q3a,292,30,45,45,66.667
Contig.1,N9a1'3,292,35,42,42,83.333
Contig.1,U5b3a1a,292,38,54,54,70.370
Contig.1,T2b6_146!,292,56,60,60,93.333
Contig.1,J1c2a3,292,42,53,53,79.245
Contig.1,J1c2a2,292,42,53,53,79.245
Contig.1,M5a1,292,33,44,44,75.000
Contig.1,U5b3a,292,39,52,52,75.000
Contig.1,M5a3,292,33,43,43,76.744
Contig.1,M5a2,292,33,42,42,78.571
Contig.1,M5a5,292,32,41,41,78.049
Contig.1,M5a4,292,31,41,41,75.610
Contig.1,U5b3f,292,38,50,50,76.000
Contig.1,U5b3g,292,40,52,52,76.923
Contig.1,U5b3h,292,39,51,51,76.471
Contig.1,W8,292,38,53,53,71.698
Contig.1,HV1c,292,38,45,45,84.444
Contig.1,L3h1a2,292,31,41,41,75.610
Contig.1,L3h1a1,292,31,48,48,64.583
Contig.1,L3b'f,292,32,34,34,94.118
Contig.1,B4a1a1u,292,36,47,47,76.596
Contig.1,B4a1a1t,292,36,47,47,76.596
Contig.1,C7_16051,292,31,50,50,62.000
Contig.1,B4a1a1v,292,36,48,48,75.000
Contig.1,B4a1a1q,292,36,47,47,76.596
Contig.1,D1j1a,292,31,48,48,64.583
Contig.1,B4a1a1s,292,36,47,47,76.596
Contig.1,B4a1a1r,292,37,48,48,77.083
Contig.1,L3d1c1,292,31,47,47,65.957
Contig.1,X2a1,292,33,47,47,70.213
Contig.1,B4a1a1y,292,36,47,47,76.596
Contig.1,B4a1a1x,292,36,47,47,76.596
Contig.1,B4a1a1z,292,36,47,47,76.596
Contig.1,B4a1a1e,292,36,47,47,76.596
Contig.1,B4a1a1d,292,36,47,47,76.596
Contig.1,H107,292,37,44,44,84.091
Contig.1,H106,292,38,45,45,84.444
Contig.1,H101,292,38,45,45,84.444
Contig.1,Z3a,292,32,52,52,61.538
Contig.1,B4a1a1c,292,36,48,48,75.000
Contig.1,Z3c,292,32,50,50,64.000
Contig.1,H2a1a1,292,38,53,53,71.698
Contig.1,B4a1a1o,292,35,46,46,76.087
Contig.1,H2a1a2,292,38,53,53,71.698
Contig.1,B4a1a1i,292,36,48,48,75.000
Contig.1,B4a1a1h,292,36,48,48,75.000
Contig.1,B4a1a1k,292,36,47,47,76.596
Contig.1,B4a1a1j,292,36,47,47,76.596
Contig.1,M1a,292,28,41,41,68.293
Contig.1,M12b2,292,30,48,48,62.500
Contig.1,M12b1,292,31,48,48,64.583
Contig.1,M1b,292,28,40,40,70.000
Contig.1,B4a1c_146!,292,37,43,43,86.047
Contig.1,H5a3,292,39,48,48,81.250
Contig.1,D4b2,292,33,47,47,70.213
Contig.1,D4b1a,292,33,49,49,67.347
Contig.1,D4b1b,292,33,51,51,64.706
Contig.1,D4b1,292,33,48,48,68.750
Contig.1,D4b1d,292,32,53,53,60.377
Contig.1,R11b1a,292,36,47,47,76.596
Contig.1,H13a1a1a,292,38,50,50,76.000
Contig.1,R9b1a,292,39,47,47,82.979
Contig.1,M7b1a1b,292,31,53,53,58.491
Contig.1,R9b1b,292,39,48,48,81.250
Contig.1,U8b,292,38,46,46,82.609
Contig.1,L2a2a,292,21,43,43,48.837
Contig.1,L1'2'3'4'5'6,292,7,8,8,87.500
Contig.1,U8a,292,38,49,49,77.551
Contig.1,K1a13a,292,34,51,51,66.667
Contig.1,T2b21,292,56,57,57,98.246
Contig.1,H13a1a1c,292,38,50,50,76.000
Contig.1,J1b3b1,292,42,55,55,76.364
Contig.1,X2b_226,292,33,44,44,75.000
Contig.1,H10d,292,38,45,45,84.444
Contig.1,H10g,292,38,45,45,84.444
Contig.1,H10f,292,38,45,45,84.444
Contig.1,A_152!_16362_16189!,292,34,43,43,79.070
Contig.1,H8_s_152!,292,36,44,44,81.818
